Gss year for this respondent                       ,Respondent id number,Labor force status,Number of hours worked last week,Number of hours usually work a week,Ever work as long as one year,R self-emp or works for somebody,Rs census occupation code (1980),Rs industry code   (1980),Rs census occupation code (2010),Number of children,Age of respondent,Highest year of school completed,Rs highest degree,Respondents sex,Race of respondent,Was r born in this country,Number of persons in household,How many in family earned money,Total family income,Respondents income,Total family income,Respondents income,Health -- version y,General happiness,Condition of health,Is life exciting or dull,To work hard,Weeks r. worked last year,Was r's work part-time or full-time?,Satisfaction with financial situation,Opinion of family income,Ever unemployed in last ten yrs,Opinion of how people get ahead,Rs living standard compared to parents,Work arrangement at main job,Time at current job,Usual work schedule,Days per month r work extra hours,How often r works at home,Usual reason r work at home,R has job other than main,Job requires r to learn new things,Job requires r to work fast,R does numerous things on job,R has too much work to do well,R knows what's expected on job,Job allows r use of skills,R proud to work for employer,A lot of freedom to decide how to do job,The job security is good,How fair is what r earn on the job,Income alone is enough,Rs health in general,Days of poor physical health past 30 days,Days of poor mental health past 30 days,Days of activity limitation past 30 days,How often during past month r felt used up,R had back pain in the past 12 months,Trouble sleeping last 12 months,Job satisfaction in general,R work for whom,How often does r find work stressful,Internet access in r's home,The highest degree r have earned,Is r us citizen,Does r own or rent home?,Number in family of r,Respondent socioeconomic index,Year of birth,Ballot used for interview,Occupation code based on o*net,R's socioeconomic index (2010)
2010,34,Retired,Not applicable,Not applicable,Yes,Someone else,Public transportation attendants,Air transportation,Flight attendants,0,78,16,Bachelor,Female,White,Yes,2,1,Don't know,Not applicable,Don't know,Not applicable,Too little,Very happy,Excellent,Exciting,Most important,0,Not applicable,Satisfied,Above average,No,Both equally,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Bachelor's,Not applicable,Not applicable,1st person,63.5,1932,Ballot c,396031,52.6
2010,35,Working fulltime,60,Not applicable,Not applicable,Someone else,"Managers and administrators, n.e.c.",No answer,"Property, real estate, and community association managers",2,57,15,High school,Male,White,Yes,1,1,$25000 or more,$25000 or more,$130000 to $149999,$130000 to $149999,Too little,Pretty happy,Excellent,Exciting,Not applicable,52,Full-time,More or less,Average,Not applicable,Hard work,Not applicable,"Regular, permanent employee",6,Day shift,30,About once a week,4,Yes,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Very true,Very true,Somewhat more than you deserve,No,Very good,0,0,0,Very often,No,Often,Very satisfied,Private company,Often,Not applicable,Not applicable,Not applicable,Other,1st person,63.5,1953,Ballot a,113011,54.6
2010,36,Working fulltime,40,Not applicable,Not applicable,Someone else,"Managers and administrators, n.e.c.",Banking,Financial managers,0,43,18,Graduate,Male,White,Yes,2,2,Refused,Refused,Refused,Refused,Not applicable,Very happy,Not applicable,Not applicable,Most important,52,Full-time,More or less,Far above average,Yes,Not applicable,Somewhat worse,"Regular, permanent employee",5,Day shift,9,Never,Not applicable,No,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Not too true,Not at all true,About as much as you deserve,Yes,Very good,0,0,0,Sometimes,Yes,Rarely,Not too satisfied,Private company,Often,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,63.5,1967,Ballot b,434131,69.3
2010,37,Working parttime,3,Not applicable,Not applicable,Someone else,"Teachers, n.e.c.","Social services, n.e.c.",Computer support specialists,3,84,16,Bachelor,Female,White,Yes,1,1,$25000 or more,$4000 to 4999,$50000 to 59999,$4 000 to 4 999,Too little,Very happy,Excellent,Routine,2nd important,40,Part-time,Satisfied,Above average,No,Both equally,Somewhat worse,Independent contractor/consultant/freelance worker,12,Day shift,0,About once a week,Worker has to work at home to keep up with job,No,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Very true,Dont know,Dont know,No,Excellent,0,0,0,Often,No,Rarely,Not too satisfied,Non-profit organization,Often,Yes,Master's,Not applicable,Not applicable,1st person,62.5,1926,Ballot c,253099.02,64.5
2010,38,Working fulltime,40,Not applicable,Not applicable,Someone else,"Managers, properties and real estate","Real estate, including real estate-insurance-law offices","Property, real estate, and community association managers",2,53,16,Graduate,Male,White,No,3,3,$25000 or more,$25000 or more,$130000 to $149999,$75000 to $89999,Not applicable,Pretty happy,Good,Exciting,Not applicable,52,Full-time,More or less,Average,Not applicable,Hard work,Not applicable,"Regular, permanent employee",15,Day shift,1,Never,Not applicable,No,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat true,Very true,About as much as you deserve,Yes,Good,3,0,0,Sometimes,No,Rarely,Very satisfied,Private company,Sometimes,Not applicable,Not applicable,A u.s. citizen,Other,1st person,53.7,1957,Ballot a,119141,54.6
2010,39,Keeping house,Not applicable,Not applicable,Yes,Someone else,Bill and account collectors,"General government, n.e.c.","Interviewers, except eligibility and loan",1,83,13,High school,Female,White,Yes,1,0,$25000 or more,Not applicable,$60000 to 74999,Not applicable,Too little,Pretty happy,Not applicable,Not applicable,2nd important,0,Not applicable,Satisfied,Above average,No,Not applicable,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,42.3,1927,Ballot b,No answer,38.3
2010,40,Retired,Not applicable,Not applicable,Yes,Someone else,No answer,"Not specified electrical machinery,   equipment, and supplies","Physical scientists, all other",2,69,18,Graduate,Male,White,Yes,2,0,$25000 or more,Refused,$150000 or over,Refused,Too little,Very happy,Excellent,Exciting,Not applicable,0,Not applicable,Satisfied,Far below average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Master's,Not applicable,Own or is buying,1st person,-1,1941,Ballot a,173023.01,86.8
2010,41,Working fulltime,40,Not applicable,Not applicable,Self-employed,Actors and directors,Theaters and motion pictures,Actors,0,24,17,Bachelor,Male,White,Yes,2,1,$15000 - 19999,$15000 - 19999,$17500 to 19999,$17500 to 19999,About right,Pretty happy,Excellent,Exciting,3rd important,52,Full-time,More or less,Above average,No,Hard work,Somewhat better,Independent contractor/consultant/freelance worker,4,Split shift,0,More than once a week,4,Yes,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Very true,Somewhat true,About as much as you deserve,Yes,Excellent,0,5,3,Often,No,Rarely,Somewhat satisfied,Private company,Often,Yes,Bachelor's,Not applicable,Not applicable,2nd person,72.5,1986,Ballot c,353031,55
2010,42,Working fulltime,35,Not applicable,Not applicable,Someone else,"Teachers, elementary school",Elementary and secondary schools,Elementary and middle school teachers,0,33,18,Graduate,Male,Other,Yes,2,2,$25000 or more,$25000 or more,$60000 to 74999,$60000 to 74999,Too little,Pretty happy,Not applicable,Not applicable,Most important,45,Full-time,More or less,Average,Yes,Not applicable,Somewhat worse,"Regular, permanent employee",6-11.9 months,Day shift,0,About once a month,Worker has to work at home to keep up with job,No,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Somewhat true,Somewhat true,Somewhat less than you deserve,Yes,Very good,2,5,0,Often,Yes,Never,Very satisfied,Government or government agency,Often,Not applicable,Not applicable,Not applicable,Pays rent,1st person,78.5,1977,Ballot b,252021,80.9
2010,43,Working parttime,24,Not applicable,Not applicable,Someone else,Janitors and cleaners,"Real estate, including real estate-insurance-law offices","Baggage porters, bellhops, and concierges",0,23,13,High school,Female,White,Yes,2,2,Don't know,$20000 - 24999,Don't know,$20000 to 22499,Too little,Pretty happy,Fair,Exciting,Not applicable,52,Part-time,Not at all sat,Below average,Not applicable,Hard work,Not applicable,"Regular, permanent employee",3,Irregular shift/on-call,30,Never,Not applicable,No,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Very true,Very true,Much more than you deserve,Yes,Fair,0,0,0,Sometimes,Yes,Never,Somewhat satisfied,Private company,Hardly ever,Yes,Not applicable,Not applicable,Pays rent,2nd person,28.4,1987,Ballot a,396011,29.5
2010,44,Working fulltime,60,Not applicable,Not applicable,Someone else,Designers,Business management and consulting  services,Designers,0,25,17,Graduate,Male,Other,Yes,2,1,$25000 or more,$25000 or more,$75000 to $89999,$75000 to $89999,Not applicable,Pretty happy,Not applicable,Not applicable,Most important,52,Full-time,Satisfied,Far above average,No,Not applicable,Somewhat better,"Regular, permanent employee",6-11.9 months,Day shift,5,About once a month,Worker has to work at home to keep up with job,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Somewhat true,Very true,Somewhat less than you deserve,Yes,Good,10,0,0,Often,Yes,Sometimes,Somewhat satisfied,Non-profit organization,Always,Not applicable,Not applicable,Not applicable,Pays rent,1st person,60.6,1985,Ballot b,271013,61.4
2010,45,Working fulltime,34,Not applicable,Not applicable,Self-employed,"Teachers, n.e.c.","Educational services, n.e.c.",Other teachers and instructors,2,66,19,Graduate,Female,White,No,2,2,Refused,Refused,Refused,Refused,Don't know,Very happy,Not applicable,Not applicable,No answer,Don't know,Not applicable,Satisfied,Average,No,Not applicable,Much better,No answer,99,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Not applicable,Not applicable,A u.s. citizen,Own or is buying,2nd person,62.5,1944,Ballot b,253099.02,59.1
2010,46,"Unempl, laid off",Not applicable,Not applicable,Not applicable,Someone else,"Sales workers, other commodities",Not specified retail trade,Retail salespersons,1,20,13,High school,Male,Other,Yes,7,2,$20000 - 24999,$1000 to 2999,$20000 to 22499,$1 000 to 2 999,Too little,Pretty happy,Not applicable,Not applicable,2nd important,26,Part-time,Not at all sat,Below average,Yes,Not applicable,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,3rd person,38.9,1990,Ballot b,412031,39.7
2010,47,Working fulltime,40,Not applicable,Not applicable,Someone else,Optical goods workers,Offices of optometrists,"Opticians, dispensing",0,37,13,High school,Female,White,Yes,2,2,$25000 or more,$25000 or more,$75000 to $89999,$40000 to 49999,Not applicable,Pretty happy,Poor,Exciting,2nd important,52,Full-time,More or less,Average,Yes,Hard work,Much better,Paid by a temporary agency,6-11.9 months,Afternoon shift,4,About once a month,Worker has to work at home to keep up with job,No,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat true,Somewhat true,About as much as you deserve,No,Poor,25,10,12,Sometimes,No,Never,Not too satisfied,Private company,Always,Yes,Not applicable,Not applicable,Not applicable,1st person,42.5,1973,Ballot c,292081,41.4
2010,48,Retired,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,3,64,12,High school,Male,Black,Yes,1,0,$25000 or more,Not applicable,$25000 to 29999,Not applicable,Too much,Not too happy,Fair,Dull,Least important,0,Not applicable,Not at all sat,Below average,No,Hard work,About the same,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,No,Not applicable,Not applicable,Not applicable,1st person,-1,1946,Ballot c,No answer,-1
2010,49,Working fulltime,50,Not applicable,Not applicable,Someone else,Order clerks,Electric light and power,Computer support specialists,0,45,12,High school,Male,White,Yes,1,1,$25000 or more,$25000 or more,$60000 to 74999,$60000 to 74999,About right,Very happy,Not applicable,Not applicable,3rd important,52,Full-time,More or less,Above average,No,Not applicable,Much better,"Regular, permanent employee",8,Day shift,6,A few times a year,Worker wants to work at home,Yes,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Very true,Somewhat true,About as much as you deserve,Yes,Very good,0,0,0,Never,No,Never,Very satisfied,Private company,Hardly ever,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,38.5,1965,Ballot b,434051,64.5
2010,50,Working fulltime,50,Not applicable,Not applicable,Someone else,Hairdressers and cosmetologists,Beauty shops,Miscellaneous personal appearance workers,2,40,12,High school,Female,Other,No,7,7,Don't know,$6000 to 6999,Don't know,$6 000 to 6 999,Not applicable,Very happy,Not applicable,Not applicable,Least important,52,Full-time,Not at all sat,Below average,Yes,Not applicable,Somewhat better,"Regular, permanent employee",6-11.9 months,Day shift,0,Never,Not applicable,No,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Not too true,Not too true,Much less than you deserve,No,Very good,0,0,0,Often,Yes,Often,Not too satisfied,Private company,Never,Not applicable,Not applicable,Not a u.s. citizen,Own or is buying,4th person,26.4,1970,Ballot b,395092,20.1
2010,51,Working fulltime,32,Not applicable,Not applicable,Someone else,Social workers,Hospitals,Counselors,3,80,16,Bachelor,Male,Black,Yes,1,1,$25000 or more,$25000 or more,$50000 to 59999,$50000 to 59999,Too little,Pretty happy,Fair,Dull,3rd important,52,Full-time,Not at all sat,Below average,Yes,Luck or help,Somewhat worse,"Regular, permanent employee",5,Split shift,0,A few times a year,4,No,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Somewhat true,Not too true,About as much as you deserve,No,Fair,0,0,0,Rarely,No,Often,Somewhat satisfied,Private company,Always,Yes,Bachelor's,Not applicable,Not applicable,1st person,69.2,1930,Ballot c,211014,63.7
2010,52,Retired,Not applicable,Not applicable,Yes,Someone else,Electrical and electronic engineers,"Not specified electrical machinery,   equipment, and supplies",Mechanical engineers,1,60,15,High school,Male,White,Yes,2,2,$25000 or more,$25000 or more,$110000 to $129999,$110000 to $129999,Too much,Pretty happy,Not applicable,Not applicable,2nd important,25,Full-time,More or less,Above average,No,Not applicable,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,86.6,1950,Ballot b,499042,83.8
2010,53,Working fulltime,40,Not applicable,Not applicable,Someone else,Computer systems analysts and scientists,Scientific and controlling instruments,"Software developers, applications and systems software",2,49,16,Bachelor,Male,White,Yes,4,4,$25000 or more,$25000 or more,$150000 or over,$75000 to $89999,Not applicable,Pretty happy,Not applicable,Not applicable,2nd important,52,Full-time,Satisfied,Above average,Yes,Not applicable,Much better,"Regular, permanent employee",3,Day shift,2,A few times a year,Worker has to work at home to keep up with job,No,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Somewhat true,Very true,Somewhat less than you deserve,No,Very good,1,No answer,No answer,Sometimes,No,Rarely,Very satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,83.7,1961,Ballot b,151031,87.9
